Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00     2152     0.00     0.00  __gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> >*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >::difference_type __gnu_cxx::operator-<std::vector<int, std::allocator<int> >*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >(__gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> >*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > > const&, __gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> >*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > > const&)
  0.00      0.00     0.00     2053     0.00     0.00  __gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> >*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >::operator+(long) const
  0.00      0.00     0.00     1948     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.00     0.00     1900     0.00     0.00  std::_Vector_base<AStarSearchAlgorithm::State, std::allocator<AStarSearchAlgorithm::State> >::_M_get_Tp_allocator() const
  0.00      0.00     0.00     1622     0.00     0.00  std::vector<AStarSearchAlgorithm::State, std::allocator<AStarSearchAlgorithm::State> >::operator[](unsigned long)
  0.00      0.00     0.00     1600     0.00     0.00  __gnu_cxx::__normal_iterator<AStarSearchAlgorithm::State*, std::vector<AStarSearchAlgorithm::State, std::allocator<AStarSearchAlgorithm::State> > >::__normal_iterator(AStarSearchAlgorithm::State* const&)
  0.00      0.00     0.00     1600     0.00     0.00  std::vector<AStarSearchAlgorithm::State, std::allocator<AStarSearchAlgorithm::State> >::max_size() const
  0.00      0.00     0.00     1600     0.00     0.00  std::allocator_traits<std::allocator<AStarSearchAlgorithm::State> >::max_size(std::allocator<AStarSearchAlgorithm::State> const&)
  0.00      0.00     0.00     1600     0.00     0.00  std::vector<AStarSearchAlgorithm::State, std::allocator<AStarSearchAlgorithm::State> >::_S_max_size(std::allocator<AStarSearchAlgorithm::State> const&)
  0.00      0.00     0.00     1600     0.00     0.00  std::vector<AStarSearchAlgorithm::State, std::allocator<AStarSearchAlgorithm::State> >::_S_relocate(AStarSearchAlgorithm::State*, AStarSearchAlgorithm::State*, AStarSearchAlgorithm::State*, std::allocator<AStarSearchAlgorithm::State>&)
